network,edge_id,station_u,station_v
9_lines_245_stations,143,105,106
9_lines_245_stations,144,106,107
9_lines_245_stations,145,107,108
9_lines_245_stations,146,108,109
9_lines_245_stations,147,109,110
9_lines_245_stations,148,110,111
9_lines_245_stations,149,111,112
9_lines_245_stations,150,113,114
9_lines_245_stations,151,115,167
9_lines_245_stations,152,116,117
9_lines_245_stations,153,117,118
9_lines_245_stations,154,118,119
9_lines_245_stations,155,119,120
9_lines_245_stations,156,119,142
9_lines_245_stations,157,119,143
9_lines_245_stations,158,120,121
9_lines_245_stations,159,121,122
9_lines_245_stations,160,122,123
9_lines_245_stations,161,123,124
9_lines_245_stations,162,126,127
9_lines_245_stations,163,127,128
9_lines_245_stations,164,128,129
9_lines_245_stations,165,129,130
9_lines_245_stations,166,130,131
9_lines_245_stations,167,131,132
9_lines_245_stations,168,132,133
9_lines_245_stations,169,133,134
9_lines_245_stations,170,134,135
9_lines_245_stations,171,134,197
9_lines_245_stations,172,134,198
9_lines_245_stations,173,136,137
9_lines_245_stations,174,137,138
9_lines_245_stations,175,139,140
9_lines_245_stations,176,140,141
9_lines_245_stations,177,140,193
9_lines_245_stations,178,140,194
9_lines_245_stations,179,143,144
9_lines_245_stations,180,144,145
9_lines_245_stations,181,145,146
9_lines_245_stations,182,145,236
9_lines_245_stations,183,145,237
9_lines_245_stations,184,146,147
9_lines_245_stations,185,147,148
9_lines_245_stations,186,148,149
9_lines_245_stations,187,149,150
9_lines_245_stations,188,150,151
9_lines_245_stations,189,152,153
9_lines_245_stations,190,153,154
9_lines_245_stations,191,154,155
9_lines_245_stations,192,155,156
9_lines_245_stations,193,156,157
9_lines_245_stations,194,157,158
9_lines_245_stations,195,158,159
9_lines_245_stations,196,159,160
9_lines_245_stations,197,160,161
9_lines_245_stations,198,161,162
9_lines_245_stations,199,162,163
9_lines_245_stations,200,163,164
9_lines_245_stations,201,164,165
9_lines_245_stations,202,165,166
9_lines_245_stations,203,167,168
9_lines_245_stations,204,168,169
9_lines_245_stations,205,170,171
9_lines_245_stations,206,172,173
9_lines_245_stations,207,173,174
9_lines_245_stations,208,174,175
9_lines_245_stations,209,175,176
9_lines_245_stations,210,176,177
9_lines_245_stations,211,177,178
9_lines_245_stations,212,178,179
9_lines_245_stations,213,179,180
9_lines_245_stations,214,180,181
9_lines_245_stations,215,31,182
9_lines_245_stations,216,182,183
9_lines_245_stations,217,183,187
9_lines_245_stations,218,184,185
9_lines_245_stations,219,185,186
9_lines_245_stations,220,186,187
9_lines_245_stations,221,187,188
9_lines_245_stations,222,188,189
9_lines_245_stations,223,189,190
9_lines_245_stations,224,191,192
9_lines_245_stations,225,195,196
9_lines_245_stations,226,198,199
9_lines_245_stations,227,199,200
9_lines_245_stations,228,200,201
9_lines_245_stations,229,201,202
9_lines_245_stations,230,202,203
9_lines_245_stations,231,203,204
9_lines_245_stations,232,204,205
9_lines_245_stations,233,205,206
9_lines_245_stations,234,206,207
9_lines_245_stations,235,207,208
9_lines_245_stations,236,208,209
9_lines_245_stations,237,209,210
9_lines_245_stations,238,211,212
9_lines_245_stations,239,212,213
9_lines_245_stations,240,213,221
9_lines_245_stations,241,214,215
9_lines_245_stations,242,215,216
9_lines_245_stations,243,216,217
9_lines_245_stations,244,217,218
9_lines_245_stations,245,218,219
9_lines_245_stations,246,219,220
9_lines_245_stations,247,220,221
9_lines_245_stations,248,221,222
9_lines_245_stations,249,222,223
9_lines_245_stations,250,223,224
9_lines_245_stations,251,224,225
9_lines_245_stations,252,225,226
9_lines_245_stations,253,226,227
9_lines_245_stations,254,227,228
9_lines_245_stations,255,228,229
9_lines_245_stations,256,229,230
9_lines_245_stations,257,230,231
9_lines_245_stations,258,233,234
9_lines_245_stations,259,234,235
9_lines_245_stations,260,235,236
9_lines_245_stations,261,237,238
9_lines_245_stations,262,238,239
9_lines_245_stations,263,239,240
9_lines_245_stations,264,240,241
9_lines_245_stations,265,241,242
9_lines_245_stations,266,242,243
9_lines_245_stations,267,243,244
9_lines_245_stations,268,244,245
