network,station_id,demand_probability
9_lines_245_stations,228,0.1
9_lines_245_stations,229,0.25
9_lines_245_stations,230,0.1
9_lines_245_stations,231,0.1
9_lines_245_stations,232,0.1
9_lines_245_stations,233,0.1
9_lines_245_stations,234,0.1
9_lines_245_stations,235,0.1
9_lines_245_stations,236,0.1
9_lines_245_stations,237,0.08
9_lines_245_stations,238,0.08
9_lines_245_stations,239,0.07
9_lines_245_stations,240,0.07
9_lines_245_stations,241,0.07
9_lines_245_stations,242,0.05
9_lines_245_stations,243,0.05
9_lines_245_stations,244,0.05
9_lines_245_stations,245,0.15
