network,method,algorithm_variant,M,T,stage2_fixed_depots,technician_allocation,system_reliability,stage2_runtime_seconds
9_lines_245_stations,heuristic,heuristic,3,30,"[13,21,43]","[11,13,6]",0.326994908,0.17
9_lines_245_stations,exact,exact,3,30,"[13,21,43]","[11,13,6]",0.326995,0.105
9_lines_245_stations,ea_ra,enumeration,3,40,"[13,21,43]","[15,16,9]",0.846151613,1.1458
9_lines_245_stations,heuristic,heuristic,3,40,"[13,21,43]","[15,16,9]",0.846151613,0.2001
9_lines_245_stations,exact,exact,3,40,"[13,21,43]","[15,16,9]",0.846152,0.114
9_lines_245_stations,ea_ra,enumeration,3,50,"[13,21,43]","[19,20,11]",0.987122462,1.2566
9_lines_245_stations,heuristic,heuristic,3,50,"[13,21,43]","[19,20,11]",0.987122462,0.2294
9_lines_245_stations,exact,exact,3,50,"[13,21,43]","[19,20,11]",0.987122,0.111
9_lines_245_stations,ea_ra,enumeration,3,60,"[13,21,43]","[22,24,14]",0.999579421,1.7769
9_lines_245_stations,heuristic,heuristic,3,60,"[13,21,43]","[22,24,14]",0.999579025,0.2587
9_lines_245_stations,exact,exact,3,60,"[13,21,43]","[22,24,14]",0.999579,0.111
9_lines_245_stations,ea_ra,enumeration,3,70,"[13,21,43]","[26,27,17]",0.999992024,2.3779
9_lines_245_stations,heuristic,heuristic,3,70,"[13,21,43]","[26,27,17]",0.999992015,0.2888
9_lines_245_stations,exact,exact,3,70,"[13,21,43]","[26,27,17]",0.999992,0.111
9_lines_245_stations,ea_ra,enumeration,4,10,"[13,21,43,221]","[3,4,2,1]",3.30E-06,1.6195
9_lines_245_stations,heuristic,heuristic,4,10,"[13,21,43,221]","[3,4,2,1]",3.30E-06,0.091
9_lines_245_stations,exact,exact,4,10,"[13,21,43,221]","[3,4,2,1]",3.30E-06,0.0843
9_lines_245_stations,ea_ra,enumeration,4,20,"[13,21,43,221]","[7,8,4,1]",0.009218,1.055
9_lines_245_stations,heuristic,heuristic,4,20,"[13,21,43,221]","[7,8,4,1]",0.009218,0.131
9_lines_245_stations,exact,exact,4,20,"[13,21,43,221]","[7,8,4,1]",0.009218,0.087
9_lines_245_stations,ea_ra,enumeration,4,30,"[13,21,43,221]","[10,12,6,2]",0.255577,3.745
9_lines_245_stations,heuristic,heuristic,4,30,"[13,21,43,221]","[10,12,6,2]",0.255577,0.173
9_lines_245_stations,exact,exact,4,30,"[13,21,43,221]","[10,12,6,2]",0.255577,0.09
9_lines_245_stations,ea_ra,enumeration,4,40,"[13,21,43,221]","[13,16,8,3]",0.766086,9.3105
9_lines_245_stations,heuristic,heuristic,4,40,"[13,21,43,221]","[13,16,8,3]",0.766086,0.213
9_lines_245_stations,exact,exact,4,40,"[13,21,43,221]","[13,16,8,3]",0.766086,0.093
9_lines_245_stations,ea_ra,enumeration,4,50,"[13,21,43,221]","[16,19,11,4]",0.970194,21.2569
9_lines_245_stations,heuristic,heuristic,4,50,"[13,21,43,221]","[16,19,11,4]",0.970194,0.256
9_lines_245_stations,exact,exact,4,50,"[13,21,43,221]","[16,19,11,4]",0.970194,0.096
9_lines_245_stations,ea_ra,enumeration,4,60,"[13,21,43,221]","[19,22,13,6]",0.998033222,33.1496
9_lines_245_stations,heuristic,heuristic,4,60,"[13,21,43,221]","[19,22,13,6]",0.998033,0.295
9_lines_245_stations,exact,exact,4,60,"[13,21,43,221]","[19,22,13,6]",0.998033,0.096
9_lines_245_stations,ea_ra,enumeration,4,70,"[13,21,43,221]","[22,26,15,7]",0.999928878,52.7784
9_lines_245_stations,heuristic,heuristic,4,70,"[13,21,43,221]","[22,26,15,7]",0.999929,0.338
9_lines_245_stations,exact,exact,4,70,"[13,21,43,221]","[22,26,15,7]",0.999929,0.093
9_lines_245_stations,ea_ra,enumeration,5,10,"[13,21,31,43,221]","[3,3,1,2,1]",1.83E-06,0.9305
9_lines_245_stations,heuristic,heuristic,5,10,"[13,21,31,43,221]","[3,3,1,2,1]",1.83E-06,0.0968
9_lines_245_stations,exact,exact,5,10,"[13,21,31,43,221]","[3,3,1,2,1]",1.83E-06,0.078
9_lines_245_stations,ea_ra,enumeration,5,20,"[13,21,31,43,221]","[6,7,2,4,1]",0.005515571,4.2099
9_lines_245_stations,heuristic,heuristic,5,20,"[13,21,31,43,221]","[6,7,2,4,1]",0.005515571,0.1492
9_lines_245_stations,exact,exact,5,20,"[13,21,31,43,221]","[6,7,2,4,1]",0.005516,0.078
9_lines_245_stations,ea_ra,enumeration,5,30,"[13,21,31,43,221]","[10,10,2,6,2]",0.183626592,25.4083
9_lines_245_stations,heuristic,heuristic,5,30,"[13,21,31,43,221]","[10,10,2,6,2]",0.183626592,0.2039
9_lines_245_stations,exact,exact,5,30,"[13,21,31,43,221]","[10,10,2,6,2]",0.183627,0.081
9_lines_245_stations,ea_ra,enumeration,5,40,"[13,21,31,43,221]","[12,13,4,8,3]",0.673112531,87.6729
9_lines_245_stations,heuristic,heuristic,5,40,"[13,21,31,43,221]","[12,13,4,8,3]",0.673112531,0.257
9_lines_245_stations,exact,exact,5,40,"[13,21,31,43,221]","[12,13,4,8,3]",0.673113,0.081
9_lines_245_stations,ea_ra,enumeration,5,50,"[13,21,31,43,221]","[15,16,5,10,4]",0.941843503,225.2139
9_lines_245_stations,heuristic,heuristic,5,50,"[13,21,31,43,221]","[15,16,5,10,4]",0.941843503,0.31
9_lines_245_stations,exact,exact,5,50,"[13,21,31,43,221]","[15,16,5,10,4]",0.941844,0.087
9_lines_245_stations,ea_ra,enumeration,5,60,"[13,21,31,43,221]","[18,19,6,12,5]",0.994187879,480.0866
9_lines_245_stations,heuristic,heuristic,5,60,"[13,21,31,43,221]","[18,19,6,12,5]",0.994187879,0.367
9_lines_245_stations,exact,exact,5,60,"[13,21,31,43,221]","[18,19,6,12,5]",0.994188,0.087
9_lines_245_stations,ea_ra,enumeration,5,70,"[13,21,31,43,221]","[20,22,7,14,7]",0.999599075,918.8208
9_lines_245_stations,heuristic,heuristic,5,70,"[13,21,31,43,221]","[20,22,7,14,7]",0.999599075,0.418
9_lines_245_stations,exact,exact,5,70,"[13,21,31,43,221]","[20,22,7,14,7]",0.999599,0.0936
9_lines_245_stations,ea_ra,enumeration,6,10,"[13,21,31,43,145,221]","[3,2,1,2,1,1]",9.74E-07,0.7588
9_lines_245_stations,heuristic,heuristic,6,10,"[13,21,31,43,145,221]","[3,2,1,2,1,1]",9.74E-07,0.0871
9_lines_245_stations,exact,exact,6,10,"[13,21,31,43,145,221]","[3,2,1,2,1,1]",9.74E-07,0.066
9_lines_245_stations,ea_ra,enumeration,6,20,"[13,21,31,43,145,221]","[6,6,1,4,2,1]",0.003298108,12.9878
9_lines_245_stations,heuristic,heuristic,6,20,"[13,21,31,43,145,221]","[6,6,1,4,2,1]",0.003298108,0.1523
9_lines_245_stations,exact,exact,6,20,"[13,21,31,43,145,221]","[6,6,1,4,2,1]",0.003298,0.078
9_lines_245_stations,ea_ra,enumeration,6,30,"[13,21,31,43,145,221]","[9,8,2,6,3,2]",0.131952068,132.074
9_lines_245_stations,heuristic,heuristic,6,30,"[13,21,31,43,145,221]","[9,8,2,6,3,2]",0.131952068,0.2213
9_lines_245_stations,exact,exact,6,30,"[13,21,31,43,145,221]","[9,8,2,6,3,2]",0.131952,0.072
9_lines_245_stations,ea_ra,enumeration,6,40,"[13,21,31,43,145,221]","[12,10,3,8,4,3]",0.568916879,638.333
9_lines_245_stations,heuristic,heuristic,6,40,"[13,21,31,43,145,221]","[12,10,3,8,4,3]",0.568916879,0.2877
9_lines_245_stations,exact,exact,6,40,"[13,21,31,43,145,221]","[12,10,3,8,4,3]",0.568917,0.075
9_lines_245_stations,ea_ra,enumeration,6,50,"[13,21,31,43,145,221]","[14,13,4,10,5,4]",0.891209234,2232.0575
9_lines_245_stations,heuristic,heuristic,6,50,"[13,21,31,43,145,221]","[14,13,4,10,5,4]",0.891209234,0.3533
9_lines_245_stations,exact,exact,6,50,"[13,21,31,43,145,221]","[14,13,4,10,5,4]",0.891209,0.078
9_lines_245_stations,ea_ra,random,6,60,"[13,21,31,43,145,221]","[17,15,5,12,7,4]",0.981071034,1680.0658
9_lines_245_stations,heuristic,heuristic,6,60,"[13,21,31,43,145,221]","[17,15,5,11,7,5]",0.983773239,0.4202
9_lines_245_stations,exact,exact,6,60,"[13,21,31,43,145,221]","[17,15,5,11,7,5]",0.983773,0.081
9_lines_245_stations,ea_ra,random,6,70,"[13,21,31,43,145,221]","[18,17,7,13,9,6]",0.99782181,1649.6106
9_lines_245_stations,heuristic,heuristic,6,70,"[13,21,31,43,145,221]","[19,17,7,13,8,6]",0.998462506,0.4866
9_lines_245_stations,exact,exact,6,70,"[13,21,31,43,145,221]","[19,17,7,13,8,6]",0.998463,0.081
9_lines_245_stations,ea_ra,enumeration,7,10,"[13,21,31,43,134,145,221]","[2,2,1,2,1,1,1]",5.56E-07,1.1328
9_lines_245_stations,heuristic,heuristic,7,10,"[13,21,31,43,134,145,221]","[2,2,1,2,1,1,1]",5.56E-07,0.0691
9_lines_245_stations,exact,exact,7,10,"[13,21,31,43,134,145,221]","[2,2,1,2,1,1,1]",5.56E-07,0.051
9_lines_245_stations,ea_ra,enumeration,7,20,"[13,21,31,43,134,145,221]","[5,5,1,4,2,2,1]",0.001927285,31.3436
9_lines_245_stations,heuristic,heuristic,7,20,"[13,21,31,43,134,145,221]","[5,5,1,4,2,2,1]",0.001927285,0.1481
9_lines_245_stations,exact,exact,7,20,"[13,21,31,43,134,145,221]","[5,5,1,4,2,2,1]",0.001927,0.054
9_lines_245_stations,ea_ra,enumeration,7,30,"[13,21,31,43,134,145,221]","[7,8,2,5,3,3,2]",0.088471872,544.8731
9_lines_245_stations,heuristic,heuristic,7,30,"[13,21,31,43,134,145,221]","[7,8,2,5,3,3,2]",0.088471872,0.2279
9_lines_245_stations,exact,exact,7,30,"[13,21,31,43,134,145,221]","[7,8,2,5,3,3,2]",0.088472,0.06
9_lines_245_stations,ea_ra,enumeration,7,40,"[13,21,31,43,134,145,221]","[9,10,3,7,4,4,3]",0.465326641,3740.8847
9_lines_245_stations,heuristic,heuristic,7,40,"[13,21,31,43,134,145,221]","[9,10,3,7,4,4,3]",0.465326641,0.3084
9_lines_245_stations,exact,exact,7,40,"[13,21,31,43,134,145,221]","[9,10,3,7,4,4,3]",0.465327,0.06
9_lines_245_stations,ea_ra,random,7,50,"[13,21,31,43,134,145,221]","[12,12,4,9,5,5,3]",0.813229146,1732.0777
9_lines_245_stations,heuristic,heuristic,7,50,"[13,21,31,43,134,145,221]","[11,12,4,9,6,5,3]",0.828286065,0.4392
9_lines_245_stations,exact,exact,7,50,"[13,21,31,43,134,145,221]","[11,12,4,9,6,5,3]",0.828286,0.066
9_lines_245_stations,ea_ra,random,7,60,"[13,21,31,43,134,145,221]","[13,14,7,10,6,6,4]",0.95121079,1808.6458
9_lines_245_stations,heuristic,heuristic,7,60,"[13,21,31,43,134,145,221]","[12,14,5,11,7,6,5]",0.965832597,0.4697
9_lines_245_stations,exact,exact,7,60,"[13,21,31,43,134,145,221]","[12,14,5,11,7,6,5]",0.965833,0.069
9_lines_245_stations,ea_ra,random,7,70,"[13,21,31,43,134,145,221]","[14,16,6,13,8,6,7]",0.991183627,1958.4704
9_lines_245_stations,heuristic,heuristic,7,70,"[13,21,31,43,134,145,221]","[14,16,6,13,8,7,6]",0.994976113,0.5504
9_lines_245_stations,exact,exact,7,70,"[13,21,31,43,134,145,221]","[14,16,6,13,8,7,6]",0.994976,0.069
9_lines_245_stations,ea_ra,enumeration,8,10,"[13,21,31,43,134,145,156,221]","[2,2,1,1,1,1,1,1]",3.16E-07,1.1867
9_lines_245_stations,heuristic,heuristic,8,10,"[13,21,31,43,134,145,156,221]","[2,2,1,1,1,1,1,1]",3.16E-07,0.0578
9_lines_245_stations,exact,exact,8,10,"[13,21,31,43,134,145,156,221]","[2,2,1,1,1,1,1,1]",3.16E-07,0.048
9_lines_245_stations,ea_ra,enumeration,8,20,"[13,21,31,43,134,145,156,221]","[4,5,1,4,2,2,1,1]",0.001330034,58.9197
9_lines_245_stations,heuristic,heuristic,8,20,"[13,21,31,43,134,145,156,221]","[4,5,1,4,2,2,1,1]",0.00133,0.1511
9_lines_245_stations,exact,exact,8,20,"[13,21,31,43,134,145,156,221]","[4,5,1,4,2,2,1,1]",0.00133,0.054
9_lines_245_stations,ea_ra,enumeration,8,30,"[13,21,31,43,134,145,156,221]","[7,7,2,5,3,3,1,2]",0.068910572,1925.9568
9_lines_245_stations,heuristic,heuristic,8,30,"[13,21,31,43,134,145,156,221]","[7,7,2,5,3,3,1,2]",0.068910572,0.2503
9_lines_245_stations,exact,exact,8,30,"[13,21,31,43,134,145,156,221]","[7,7,2,5,3,3,1,2]",0.068910572,0.0567
9_lines_245_stations,ea_ra,random,8,40,"[13,21,31,43,134,145,156,221]","[9,8,3,7,4,4,2,3]",0.385961106,1791.0427
9_lines_245_stations,heuristic,heuristic,8,40,"[13,21,31,43,134,145,156,221]","[8,9,3,7,4,4,2,3]",0.400511,0.3417
9_lines_245_stations,exact,exact,8,40,"[13,21,31,43,134,145,156,221]","[8,9,3,7,4,4,2,3]",0.400511,0.06
9_lines_245_stations,ea_ra,random,8,50,"[13,21,31,43,134,145,156,221]","[12,11,4,8,5,5,2,3]",0.748151133,1822.3912
9_lines_245_stations,heuristic,heuristic,8,50,"[13,21,31,43,134,145,156,221]","[10,11,4,9,5,5,3,3]",0.776242,0.4378
9_lines_245_stations,exact,exact,8,50,"[13,21,31,43,134,145,156,221]","[10,11,4,9,5,5,3,3]",0.776242,0.066
9_lines_245_stations,ea_ra,random,8,60,"[13,21,31,43,134,145,156,221]","[12,13,5,9,8,6,3,4]",0.931800974,1833.692
9_lines_245_stations,heuristic,heuristic,8,60,"[13,21,31,43,134,145,156,221]","[12,13,5,10,7,6,3,4]",0.948248,0.5298
9_lines_245_stations,exact,exact,8,60,"[13,21,31,43,134,145,156,221]","[12,13,5,10,7,6,3,4]",0.948248,0.066
9_lines_245_stations,ea_ra,random,8,70,"[13,21,31,43,134,145,156,221]","[13,14,6,13,7,9,4,4]",0.982491203,1871.7204
9_lines_245_stations,heuristic,heuristic,8,70,"[13,21,31,43,134,145,156,221]","[14,14,6,12,8,7,4,5]",0.991249,0.6269
9_lines_245_stations,exact,exact,8,70,"[13,21,31,43,134,145,156,221]","[14,14,6,12,8,7,4,5]",0.991249,0.072
9_lines_245_stations,ea_ra,enumeration,9,10,"[16,21,31,43,75,134,145,156,221]","[1,2,1,1,1,1,1,1,1]",1.48E-07,1.3094
9_lines_245_stations,heuristic,heuristic,9,10,"[16,21,31,43,75,134,145,156,221]","[1,2,1,1,1,1,1,1,1]",1.48E-07,0.0469
9_lines_245_stations,exact,exact,9,10,"[16,21,31,43,75,134,145,156,221]","[1,2,1,1,1,1,1,1,1]",1.48E-07,0.048
9_lines_245_stations,ea_ra,enumeration,9,20,"[16,21,31,43,75,134,145,156,221]","[3,4,1,3,3,2,2,1,1]",0.000787232,91.9885
9_lines_245_stations,heuristic,heuristic,9,20,"[16,21,31,43,75,134,145,156,221]","[3,4,1,3,3,2,2,1,1]",0.000787232,0.1569
9_lines_245_stations,exact,exact,9,20,"[16,21,31,43,75,134,145,156,221]","[3,4,1,3,3,2,2,1,1]",0.000787,0.051
9_lines_245_stations,ea_ra,random,9,30,"[16,21,31,43,75,134,145,156,221]","[5,6,2,5,5,3,2,1,1]",0.041301541,1828.8222
9_lines_245_stations,heuristic,heuristic,9,30,"[16,21,31,43,75,134,145,156,221]","[4,6,2,5,4,3,3,1,2]",0.046994331,0.2675
9_lines_245_stations,exact,exact,9,30,"[16,21,31,43,75,134,145,156,221]","[4,6,2,5,4,3,3,1,2]",0.046994,0.048
9_lines_245_stations,ea_ra,random,9,40,"[16,21,31,43,75,134,145,156,221]","[5,7,3,6,6,4,4,2,3]",0.303485426,1992.4137
9_lines_245_stations,heuristic,heuristic,9,40,"[16,21,31,43,75,134,145,156,221]","[5,8,3,6,6,4,4,2,2]",0.322834453,0.3795
9_lines_245_stations,exact,exact,9,40,"[16,21,31,43,75,134,145,156,221]","[5,8,3,6,6,4,4,2,2]",0.322834,0.054
9_lines_245_stations,ea_ra,random,9,50,"[16,21,31,43,75,134,145,156,221]","[6,9,3,8,9,6,4,3,2]",0.615155069,2030.4306
9_lines_245_stations,heuristic,heuristic,9,50,"[16,21,31,43,75,134,145,156,221]","[6,10,4,8,7,5,5,2,3]",0.701463277,0.4883
9_lines_245_stations,exact,exact,9,50,"[16,21,31,43,75,134,145,156,221]","[6,10,4,8,7,5,5,2,3]",0.701463,0.06
9_lines_245_stations,ea_ra,random,9,60,"[16,21,31,43,75,134,145,156,221]","[7,11,6,8,8,9,5,3,3]",0.864908197,2078.294
9_lines_245_stations,heuristic,heuristic,9,60,"[16,21,31,43,75,134,145,156,221]","[7,11,5,9,8,7,6,3,4]",0.912391878,0.5986
9_lines_245_stations,exact,exact,9,60,"[16,21,31,43,75,134,145,156,221]","[7,11,5,9,8,7,6,3,4]",0.912392,0.06
9_lines_245_stations,ea_ra,random,9,70,"[16,21,31,43,75,134,145,156,221]","[9,12,7,9,10,7,6,4,6]",0.96607539,2114.6352
9_lines_245_stations,heuristic,heuristic,9,70,"[16,21,31,43,75,134,145,156,221]","[8,13,5,10,10,8,7,4,5]",0.979659459,0.8032
9_lines_245_stations,exact,exact,9,70,"[16,21,31,43,75,134,145,156,221]","[8,13,5,10,10,8,7,4,5]",0.979659,0.063
9_lines_245_stations,ea_ra,enumeration,10,10,"[16,21,31,43,52,75,134,145,156,221]","[1,1,1,1,1,1,1,1,1,1]",6.29E-08,0.937
9_lines_245_stations,heuristic,heuristic,10,10,"[16,21,31,43,52,75,134,145,156,221]","[1,1,1,1,1,1,1,1,1,1]",6.29E-08,0.0341
9_lines_245_stations,exact,exact,10,10,"[16,21,31,43,52,75,134,145,156,221]","[1,1,1,1,1,1,1,1,1,1]",6.29E-08,0.039
9_lines_245_stations,ea_ra,enumeration,10,20,"[16,21,31,43,52,75,134,145,156,221]","[3,4,1,2,1,3,2,2,1,1]",0.000527454,117.9446
9_lines_245_stations,heuristic,heuristic,10,20,"[16,21,31,43,52,75,134,145,156,221]","[3,4,1,2,1,3,2,2,1,1]",0.000527454,0.1688
9_lines_245_stations,exact,exact,10,20,"[16,21,31,43,52,75,134,145,156,221]","[3,4,1,2,1,3,2,2,1,1]",0.000527,0.045
9_lines_245_stations,ea_ra,random,10,30,"[16,21,31,43,52,75,134,145,156,221]","[4,6,2,4,1,4,3,3,1,2]",0.035173013,1932.4404
9_lines_245_stations,heuristic,heuristic,10,30,"[16,21,31,43,52,75,134,145,156,221]","[4,6,2,4,1,4,3,3,1,2]",0.035173013,0.3031
9_lines_245_stations,exact,exact,10,30,"[16,21,31,43,52,75,134,145,156,221]","[4,6,2,4,1,4,3,3,1,2]",0.035173,0.051
9_lines_245_stations,ea_ra,random,10,40,"[16,21,31,43,52,75,134,145,156,221]","[4,8,3,5,2,5,5,3,2,3]",0.234396632,2461.8007
9_lines_245_stations,heuristic,heuristic,10,40,"[16,21,31,43,52,75,134,145,156,221]","[5,8,3,5,2,6,4,3,2,2]",0.27280918,0.4321
9_lines_245_stations,exact,exact,10,40,"[16,21,31,43,52,75,134,145,156,221]","[5,8,3,5,2,6,4,3,2,2]",0.272809,0.057
9_lines_245_stations,ea_ra,random,10,50,"[16,21,31,43,52,75,134,145,156,221]","[6,8,3,8,2,8,6,4,2,3]",0.560825958,2456.341
9_lines_245_stations,heuristic,heuristic,10,50,"[16,21,31,43,52,75,134,145,156,221]","[6,9,4,6,3,7,5,5,2,3]",0.642835636,0.5696
9_lines_245_stations,exact,exact,10,50,"[16,21,31,43,52,75,134,145,156,221]","[6,9,4,6,3,7,5,5,2,3]",0.642836,0.057
9_lines_245_stations,ea_ra,random,10,60,"[16,21,31,43,52,75,134,145,156,221]","[7,9,5,6,5,10,7,5,3,3]",0.793077913,2468.0565
9_lines_245_stations,heuristic,heuristic,10,60,"[16,21,31,43,52,75,134,145,156,221]","[7,11,5,8,3,8,6,5,3,4]",0.880122715,0.7012
9_lines_245_stations,exact,exact,10,60,"[16,21,31,43,52,75,134,145,156,221]","[7,11,5,8,3,8,6,5,3,4]",0.880123,0.063
9_lines_245_stations,ea_ra,random,10,70,"[16,21,31,43,52,75,134,145,156,221]","[8,11,4,9,5,10,9,6,3,5]",0.945558708,2431.6003
9_lines_245_stations,heuristic,heuristic,10,70,"[16,21,31,43,52,75,134,145,156,221]","[8,12,5,9,4,10,8,6,4,4]",0.969466555,0.8351
9_lines_245_stations,exact,exact,10,70,"[16,21,31,43,52,75,134,145,156,221]","[8,12,5,9,4,10,8,6,4,4]",0.969467,0.066
