network,method,M,T,stage1_runtime_seconds,stage1_selected_depots,WMRD,stage2_fixed_depots,stage2_runtime_seconds,system_reliability,technician_allocation,total_runtime_seconds
3_lines_80_stations,random/enumeration,8,30,1273.808,"[4,13,22,31,36,40,44,52]",26.41,"[6,13,16,22,31,36,44,53]",988.1039,0.816628244,"[2,4,4,6,2,4,5,3]",2261.9119
3_lines_80_stations,random,8,40,1273.808,"[4,13,22,31,36,40,44,52]",26.41,"[6,13,16,22,31,36,44,53]",965.2606,0.95695399,"[4,5,5,8,5,4,5,4]",2239.0686
3_lines_80_stations,random/enumeration,9,10,1506.5425,"[5,13,16,22,31,36,44,56,69]",23.92,"[6,13,16,22,26,31,36,44,53]",2.8737,0.004124507,"[1,1,1,2,1,1,1,1,1]",1509.4162
3_lines_80_stations,random/enumeration,9,20,1506.5425,"[5,13,16,22,31,36,44,56,69]",23.92,"[6,13,16,22,26,31,36,44,53]",50.0096,0.250573196,"[1,3,3,3,1,2,2,3,2]",1556.5521
3_lines_80_stations,random,9,30,1506.5425,"[5,13,16,22,31,36,44,56,69]",23.92,"[6,13,16,22,26,31,36,44,53]",1012.8939,0.734214626,"[2,4,4,5,3,2,3,5,2]",2519.4364
3_lines_80_stations,random,9,40,1506.5425,"[5,13,16,22,31,36,44,56,69]",23.92,"[6,13,16,22,26,31,36,44,53]",1155.6824,0.947618713,"[2,7,5,6,3,3,4,6,4]",2662.2249
3_lines_80_stations,random/enumeration,10,10,1458.2544,"[8,13,16,22,31,36,44,50,57,70]",21.61,"[6,13,16,22,26,31,36,44,53,69]",3.1238,0.003004094,"[1,1,1,1,1,1,1,1,1,1]",1461.3782
3_lines_80_stations,random/enumeration,10,20,1458.2544,"[8,13,16,22,31,36,44,50,57,70]",21.61,"[6,13,16,22,26,31,36,44,53,69]",66.4727,0.202557533,"[1,3,3,3,1,1,2,3,2,1]",1524.7271
3_lines_80_stations,random,10,30,1458.2544,"[8,13,16,22,31,36,44,50,57,70]",21.61,"[6,13,16,22,26,31,36,44,53,69]",1097.3357,0.648416756,"[1,4,5,4,2,3,3,4,2,2]",2555.5901
3_lines_80_stations,random,10,40,1458.2544,"[8,13,16,22,31,36,44,50,57,70]",21.61,"[6,13,16,22,26,31,36,44,53,69]",1656.6948,0.916139624,"[3,5,6,5,2,4,5,4,3,3]",3114.9492
9_lines_245_stations,enumeration,1,10,0.0021,[38],211.41,[38],0.236,3.99E-05,[10],0.2381
9_lines_245_stations,enumeration,1,20,0.0021,[38],211.41,[38],0.2367,0.06533,[20],0.2388
9_lines_245_stations,enumeration,1,30,0.0021,[38],211.41,[38],0.2373,0.724533653,[30],0.2394
9_lines_245_stations,enumeration,1,40,0.0021,[38],211.41,[38],0.2361,0.994075101,[40],0.2382
9_lines_245_stations,enumeration,1,50,0.0021,[38],211.41,[38],0.2349,0.999991867,[50],0.237
9_lines_245_stations,enumeration,1,60,0.0021,[38],211.41,[38],0.2355,0.999999999,[60],0.2376
9_lines_245_stations,enumeration,1,70,0.0021,[38],211.41,[38],0.236,1,[70],0.2381
9_lines_245_stations,enumeration,2,10,0.2001,"[21,40]",172.45,"[21,40]",0.1324,1.36E-05,"[5,5]",0.3325
9_lines_245_stations,enumeration,2,20,0.2001,"[21,40]",172.45,"[21,40]",0.1426,0.027429954,"[11,9]",0.3427
9_lines_245_stations,enumeration,2,30,0.2001,"[21,40]",172.45,"[21,40]",0.1518,0.482981512,"[16,14]",0.3519
9_lines_245_stations,enumeration,2,40,0.2001,"[21,40]",172.45,"[21,40]",0.16,0.936986455,"[21,19]",0.3601
9_lines_245_stations,enumeration,2,50,0.2001,"[21,40]",172.45,"[21,40]",0.1661,0.998161485,"[27,23]",0.3662
9_lines_245_stations,enumeration,2,60,0.2001,"[21,40]",172.45,"[21,40]",0.1736,0.999984799,"[32,28]",0.3737
9_lines_245_stations,enumeration,2,70,0.2001,"[21,40]",172.45,"[21,40]",0.1841,0.999999958,"[37,33]",0.3842
9_lines_245_stations,enumeration,3,10,16.2921,"[13,21,43]",148.1,"[13,21,43]",0.3364,6.43E-06,"[4,4,2]",16.6285
9_lines_245_stations,enumeration,3,20,16.2921,"[13,21,43]",148.1,"[13,21,43]",0.4649,0.013647474,"[8,8,4]",16.757
9_lines_245_stations,enumeration,3,30,16.2921,"[13,21,43]",148.1,"[13,21,43]",0.6929,0.326994908,"[11,13,6]",16.985
9_lines_245_stations,enumeration,3,40,16.2921,"[13,21,43]",148.1,"[13,21,43]",1.1458,0.846151613,"[15,16,9]",17.4379
9_lines_245_stations,enumeration,3,50,16.2921,"[13,21,43]",148.1,"[13,21,43]",1.2566,0.987122462,"[19,20,11]",17.5487
9_lines_245_stations,enumeration,3,60,16.2921,"[13,21,43]",148.1,"[13,21,43]",1.7769,0.999579421,"[22,24,14]",18.069
9_lines_245_stations,enumeration,3,70,16.2921,"[13,21,43]",148.1,"[13,21,43]",2.3779,0.999992024,"[26,27,17]",18.67
9_lines_245_stations,enumeration,4,10,2609.7949,"[13,21,43,221]",133.76,"[13,21,43,221]",1.6195,3.30E-06,"[3,4,2,1]",2611.4144
9_lines_245_stations,enumeration,4,20,2609.7949,"[13,21,43,221]",133.76,"[13,21,43,221]",1.055,0.009218,"[7,8,4,1]",2610.8499
9_lines_245_stations,enumeration,4,30,2609.7949,"[13,21,43,221]",133.76,"[13,21,43,221]",3.745,0.255577,"[10,12,6,2]",2613.5399
9_lines_245_stations,enumeration,4,40,2609.7949,"[13,21,43,221]",133.76,"[13,21,43,221]",9.3105,0.766086,"[13,16,8,3]",2619.1054
9_lines_245_stations,enumeration,4,50,2609.7949,"[13,21,43,221]",133.76,"[13,21,43,221]",21.2569,0.970194,"[16,19,11,4]",2631.0518
9_lines_245_stations,enumeration,4,60,2609.7949,"[13,21,43,221]",133.76,"[13,21,43,221]",33.1496,0.998033222,"[19,22,13,6]",2642.9445
9_lines_245_stations,enumeration,4,70,2609.7949,"[13,21,43,221]",133.76,"[13,21,43,221]",52.7784,0.999928878,"[22,26,15,7]",2662.5733
9_lines_245_stations,random/enumeration,5,10,1523.4768,"[21,31,44,73,220]",125.98,"[13,21,31,43,221]",0.9305,1.83E-06,"[3,3,1,2,1]",1524.4073
9_lines_245_stations,random/enumeration,5,20,1523.4768,"[21,31,44,73,220]",125.98,"[13,21,31,43,221]",4.2099,0.005515571,"[6,7,2,4,1]",1527.6867
9_lines_245_stations,random/enumeration,5,30,1523.4768,"[21,31,44,73,220]",125.98,"[13,21,31,43,221]",25.4083,0.183626592,"[10,10,2,6,2]",1548.8851
9_lines_245_stations,random/enumeration,5,40,1523.4768,"[21,31,44,73,220]",125.98,"[13,21,31,43,221]",87.6729,0.673112531,"[12,13,4,8,3]",1611.1497
9_lines_245_stations,random/enumeration,5,50,1523.4768,"[21,31,44,73,220]",125.98,"[13,21,31,43,221]",225.2139,0.941843503,"[15,16,5,10,4]",1748.6907
9_lines_245_stations,random/enumeration,5,60,1523.4768,"[21,31,44,73,220]",125.98,"[13,21,31,43,221]",480.0866,0.994187879,"[18,19,6,12,5]",2003.5634
9_lines_245_stations,random/enumeration,5,70,1523.4768,"[21,31,44,73,220]",125.98,"[13,21,31,43,221]",918.8208,0.999599075,"[20,22,7,14,7]",2442.2976
9_lines_245_stations,random/enumeration,6,10,1295.2387,"[21,31,45,73,143,223]",118.11,"[13,21,31,43,145,221]",0.7588,9.74E-07,"[3,2,1,2,1,1]",1295.9975
9_lines_245_stations,random/enumeration,6,20,1295.2387,"[21,31,45,73,143,223]",118.11,"[13,21,31,43,145,221]",12.9878,0.003298108,"[6,6,1,4,2,1]",1308.2265
9_lines_245_stations,random/enumeration,6,30,1295.2387,"[21,31,45,73,143,223]",118.11,"[13,21,31,43,145,221]",132.074,0.131952068,"[9,8,2,6,3,2]",1427.3127
9_lines_245_stations,random/enumeration,6,40,1295.2387,"[21,31,45,73,143,223]",118.11,"[13,21,31,43,145,221]",638.333,0.568916879,"[12,10,3,8,4,3]",1933.5717
9_lines_245_stations,random/enumeration,6,50,1295.2387,"[21,31,45,73,143,223]",118.11,"[13,21,31,43,145,221]",2232.0575,0.891209234,"[14,13,4,10,5,4]",3527.2962
9_lines_245_stations,random,6,60,1295.2387,"[21,31,45,73,143,223]",118.11,"[13,21,31,43,145,221]",1680.0658,0.981071034,"[17,15,5,12,7,4]",2975.3045
9_lines_245_stations,random,6,70,1295.2387,"[21,31,45,73,143,223]",118.11,"[13,21,31,43,145,221]",1649.6106,0.99782181,"[18,17,7,13,9,6]",2944.8493
9_lines_245_stations,random/enumeration,7,10,1249.6002,"[37,44,73,80,145,182,222]",111.9,"[13,21,31,43,134,145,221]",1.1328,5.56E-07,"[2,2,1,2,1,1,1]",1250.733
9_lines_245_stations,random/enumeration,7,20,1249.6002,"[37,44,73,80,145,182,222]",111.9,"[13,21,31,43,134,145,221]",31.3436,0.001927285,"[5,5,1,4,2,2,1]",1280.9438
9_lines_245_stations,random/enumeration,7,30,1249.6002,"[37,44,73,80,145,182,222]",111.9,"[13,21,31,43,134,145,221]",544.8731,0.088471872,"[7,8,2,5,3,3,2]",1794.4733
9_lines_245_stations,random/enumeration,7,40,1249.6002,"[37,44,73,80,145,182,222]",111.9,"[13,21,31,43,134,145,221]",3740.8847,0.465326641,"[9,10,3,7,4,4,3]",4990.4849
9_lines_245_stations,random,7,50,1249.6002,"[37,44,73,80,145,182,222]",111.9,"[13,21,31,43,134,145,221]",1732.0777,0.813229146,"[12,12,4,9,5,5,3]",2981.6779
9_lines_245_stations,random,7,60,1249.6002,"[37,44,73,80,145,182,222]",111.9,"[13,21,31,43,134,145,221]",1808.6458,0.95121079,"[13,14,7,10,6,6,4]",3058.246
9_lines_245_stations,random,7,70,1249.6002,"[37,44,73,80,145,182,222]",111.9,"[13,21,31,43,134,145,221]",1958.4704,0.991183627,"[14,16,6,13,8,6,7]",3208.0706
9_lines_245_stations,random/enumeration,8,10,1247.2334,"[13,31,43,71,115,119,162,222]",105.06,"[13,21,31,43,134,145,156,221]",1.1867,3.16E-07,"[2,2,1,1,1,1,1,1]",1248.4201
9_lines_245_stations,random/enumeration,8,20,1247.2334,"[13,31,43,71,115,119,162,222]",105.06,"[13,21,31,43,134,145,156,221]",58.9197,0.001330034,"[4,5,1,4,2,2,1,1]",1306.1531
9_lines_245_stations,random/enumeration,8,30,1247.2334,"[13,31,43,71,115,119,162,222]",105.06,"[13,21,31,43,134,145,156,221]",1925.9568,0.068910572,"[7,7,2,5,3,3,1,2]",3173.1902
9_lines_245_stations,random,8,40,1247.2334,"[13,31,43,71,115,119,162,222]",105.06,"[13,21,31,43,134,145,156,221]",1791.0427,0.385961106,"[9,8,3,7,4,4,2,3]",3038.2761
9_lines_245_stations,random,8,50,1247.2334,"[13,31,43,71,115,119,162,222]",105.06,"[13,21,31,43,134,145,156,221]",1822.3912,0.748151133,"[12,11,4,8,5,5,2,3]",3069.6246
9_lines_245_stations,random,8,60,1247.2334,"[13,31,43,71,115,119,162,222]",105.06,"[13,21,31,43,134,145,156,221]",1833.692,0.931800974,"[12,13,5,9,8,6,3,4]",3080.9254
9_lines_245_stations,random,8,70,1247.2334,"[13,31,43,71,115,119,162,222]",105.06,"[13,21,31,43,134,145,156,221]",1871.7204,0.982491203,"[13,14,6,13,7,9,4,4]",3118.9538
9_lines_245_stations,random/enumeration,9,10,1249.8566,"[13,22,31,43,75,105,145,156,218]",100.3,"[16,21,31,43,75,134,145,156,221]",1.3094,1.48E-07,"[1,2,1,1,1,1,1,1,1]",1251.166
9_lines_245_stations,random/enumeration,9,20,1249.8566,"[13,22,31,43,75,105,145,156,218]",100.3,"[16,21,31,43,75,134,145,156,221]",91.9885,0.000787232,"[3,4,1,3,3,2,2,1,1]",1341.8451
9_lines_245_stations,random,9,30,1249.8566,"[13,22,31,43,75,105,145,156,218]",100.3,"[16,21,31,43,75,134,145,156,221]",1828.8222,0.041301541,"[5,6,2,5,5,3,2,1,1]",3078.6788
9_lines_245_stations,random,9,40,1249.8566,"[13,22,31,43,75,105,145,156,218]",100.3,"[16,21,31,43,75,134,145,156,221]",1992.4137,0.303485426,"[5,7,3,6,6,4,4,2,3]",3242.2703
9_lines_245_stations,random,9,50,1249.8566,"[13,22,31,43,75,105,145,156,218]",100.3,"[16,21,31,43,75,134,145,156,221]",2030.4306,0.615155069,"[6,9,3,8,9,6,4,3,2]",3280.2872
9_lines_245_stations,random,9,60,1249.8566,"[13,22,31,43,75,105,145,156,218]",100.3,"[16,21,31,43,75,134,145,156,221]",2078.294,0.864908197,"[7,11,6,8,8,9,5,3,3]",3328.1506
9_lines_245_stations,random,9,70,1249.8566,"[13,22,31,43,75,105,145,156,218]",100.3,"[16,21,31,43,75,134,145,156,221]",2114.6352,0.96607539,"[9,12,7,9,10,7,6,4,6]",3364.4918
9_lines_245_stations,random/enumeration,10,10,1298.9026,"[13,16,37,43,53,145,158,182,199,219]",93.58,"[16,21,31,43,52,75,134,145,156,221]",0.937,6.29E-08,"[1,1,1,1,1,1,1,1,1,1]",1299.8396
9_lines_245_stations,random/enumeration,10,20,1298.9026,"[13,16,37,43,53,145,158,182,199,219]",93.58,"[16,21,31,43,52,75,134,145,156,221]",117.9446,0.000527454,"[3,4,1,2,1,3,2,2,1,1]",1416.8472
9_lines_245_stations,random,10,30,1298.9026,"[13,16,37,43,53,145,158,182,199,219]",93.58,"[16,21,31,43,52,75,134,145,156,221]",1932.4404,0.035173013,"[4,6,2,4,1,4,3,3,1,2]",3231.343
9_lines_245_stations,random,10,40,1298.9026,"[13,16,37,43,53,145,158,182,199,219]",93.58,"[16,21,31,43,52,75,134,145,156,221]",2461.8007,0.234396632,"[4,8,3,5,2,5,5,3,2,3]",3760.7033
9_lines_245_stations,random,10,50,1298.9026,"[13,16,37,43,53,145,158,182,199,219]",93.58,"[16,21,31,43,52,75,134,145,156,221]",2456.341,0.560825958,"[6,8,3,8,2,8,6,4,2,3]",3755.2436
9_lines_245_stations,random,10,60,1298.9026,"[13,16,37,43,53,145,158,182,199,219]",93.58,"[16,21,31,43,52,75,134,145,156,221]",2468.0565,0.793077913,"[7,9,5,6,5,10,7,5,3,3]",3766.9591
9_lines_245_stations,random,10,70,1298.9026,"[13,16,37,43,53,145,158,182,199,219]",93.58,"[16,21,31,43,52,75,134,145,156,221]",2431.6003,0.945558708,"[8,11,4,9,5,10,9,6,3,5]",3730.5029
3_lines_80_stations,heuristic,1,10,0.007,[16],87.87,[16],0.0294,0.158629708,[10],0.0364
3_lines_80_stations,heuristic,1,20,0.005,[16],87.87,[16],0.0332,0.973032755,[20],0.0382
3_lines_80_stations,heuristic,1,30,0.0051,[16],87.87,[16],0.0354,0.999996984,[30],0.0405
3_lines_80_stations,heuristic,1,40,0.0051,[16],87.87,[16],0.0401,1,[40],0.0452
3_lines_80_stations,heuristic,2,10,0.0062,"[16,22]",67.84,"[36,44]",0.0212,0.081637388,"[6,4]",0.0274
3_lines_80_stations,heuristic,2,20,0.0062,"[16,22]",67.84,"[36,44]",0.0292,0.862415265,"[12,8]",0.0354
3_lines_80_stations,heuristic,2,30,0.0061,"[16,22]",67.84,"[36,44]",0.0362,0.999092473,"[17,13]",0.0423
3_lines_80_stations,heuristic,2,40,0.0061,"[16,22]",67.84,"[36,44]",0.0451,0.999999562,"[23,17]",0.0512
3_lines_80_stations,heuristic,3,10,0.0102,"[13,22,44]",52.21,"[13,22,44]",0.0191,0.046829192,"[3,4,3]",0.0293
3_lines_80_stations,heuristic,3,20,0.0101,"[13,22,44]",52.21,"[13,22,44]",0.0311,0.728925903,"[6,8,6]",0.0412
3_lines_80_stations,heuristic,3,30,0.0093,"[13,22,44]",52.21,"[13,22,44]",0.0441,0.991742895,"[10,11,9]",0.0534
3_lines_80_stations,heuristic,3,40,0.0091,"[13,22,44]",52.21,"[13,22,44]",0.0581,0.999957892,"[13,15,12]",0.0672
3_lines_80_stations,heuristic,4,10,0.0072,"[13,22,36,44]",43.11,"[13,22,36,44]",0.0191,0.027610618,"[2,3,2,3]",0.0263
3_lines_80_stations,heuristic,4,20,0.007,"[13,22,36,44]",43.11,"[13,22,36,44]",0.0372,0.608380955,"[5,5,4,6]",0.0442
3_lines_80_stations,heuristic,4,30,0.0072,"[13,22,36,44]",43.11,"[13,22,36,44]",0.0561,0.973754142,"[8,8,6,8]",0.0633
3_lines_80_stations,heuristic,4,40,0.007,"[13,22,36,44]",43.11,"[13,22,36,44]",0.0741,0.99949799,"[10,10,9,11]",0.0811
3_lines_80_stations,heuristic,5,10,0.0162,"[13,22,36,44,53]",36.36,"[13,22,36,44,53]",0.0191,0.019929882,"[2,3,2,2,1]",0.0353
3_lines_80_stations,heuristic,5,20,0.0151,"[13,22,36,44,53]",36.36,"[13,22,36,44,53]",0.0443,0.529122462,"[5,5,4,4,2]",0.0594
3_lines_80_stations,heuristic,5,30,0.0161,"[13,22,36,44,53]",36.36,"[13,22,36,44,53]",0.07,0.944933323,"[7,8,6,6,3]",0.0861
3_lines_80_stations,heuristic,5,40,0.0163,"[13,22,36,44,53]",36.36,"[13,22,36,44,53]",0.095,0.997973803,"[10,9,8,8,5]",0.1113
3_lines_80_stations,heuristic,6,10,0.0122,"[13,16,22,32,44,53]",32.26,"[13,16,22,32,44,53]",0.0191,0.014247845,"[2,2,2,1,2,1]",0.0313
3_lines_80_stations,heuristic,6,20,0.0131,"[13,16,22,32,44,53]",32.26,"[13,16,22,32,44,53]",0.0521,0.437002699,"[4,4,5,2,3,2]",0.0652
3_lines_80_stations,heuristic,6,30,0.0124,"[13,16,22,32,44,53]",32.26,"[13,16,22,32,44,53]",0.0855,0.911026876,"[6,6,7,3,5,3]",0.0979
3_lines_80_stations,heuristic,6,40,0.0134,"[13,16,22,32,44,53]",32.26,"[13,16,22,32,44,53]",0.118,0.994932441,"[8,7,9,5,7,4]",0.1314
3_lines_80_stations,heuristic,7,10,0.013,"[13,16,22,31,36,44,53]",28.76,"[13,16,22,31,36,44,53]",0.0182,0.009352307,"[2,1,2,1,1,2,1]",0.0312
3_lines_80_stations,heuristic,7,20,0.0134,"[13,16,22,31,36,44,53]",28.76,"[13,16,22,31,36,44,53]",0.0589,0.351852895,"[4,3,4,2,2,3,2]",0.0723
3_lines_80_stations,heuristic,7,30,0.0142,"[13,16,22,31,36,44,53]",28.76,"[13,16,22,31,36,44,53]",0.0998,0.862209243,"[5,5,6,2,4,5,3]",0.114
3_lines_80_stations,heuristic,7,40,0.0142,"[13,16,22,31,36,44,53]",28.76,"[13,16,22,31,36,44,53]",0.1416,0.989419778,"[7,6,8,3,5,7,4]",0.1558
3_lines_80_stations,heuristic,8,10,0.0102,"[6,13,16,22,31,36,44,53]",25.44,"[6,13,16,22,31,36,44,53]",0.0152,0.006290938,"[1,1,1,2,1,1,2,1]",0.0254
3_lines_80_stations,heuristic,8,20,0.0104,"[6,13,16,22,31,36,44,53]",25.44,"[6,13,16,22,31,36,44,53]",0.0652,0.303047967,"[1,3,3,4,2,2,3,2]",0.0756
3_lines_80_stations,heuristic,8,30,0.009,"[6,13,16,22,31,36,44,53]",25.44,"[6,13,16,22,31,36,44,53]",0.117,0.816628244,"[2,4,4,6,2,4,5,3]",0.126
3_lines_80_stations,heuristic,8,40,0.0102,"[6,13,16,22,31,36,44,53]",25.44,"[6,13,16,22,31,36,44,53]",0.1665,0.980697574,"[3,5,6,8,3,5,6,4]",0.1767
3_lines_80_stations,heuristic,9,10,0.0162,"[6,13,16,22,26,31,36,44,53]",23.04,"[6,13,16,22,26,31,36,44,53]",0.011,0.004124507,"[1,1,1,2,1,1,1,1,1]",0.0272
3_lines_80_stations,heuristic,9,20,0.0162,"[6,13,16,22,26,31,36,44,53]",23.04,"[6,13,16,22,26,31,36,44,53]",0.0706,0.250573196,"[1,3,3,3,1,2,2,3,2]",0.0868
3_lines_80_stations,heuristic,9,30,0.0154,"[6,13,16,22,26,31,36,44,53]",23.04,"[6,13,16,22,26,31,36,44,53]",0.1306,0.770370833,"[2,4,4,5,2,2,3,5,3]",0.146
3_lines_80_stations,heuristic,9,40,0.0161,"[6,13,16,22,26,31,36,44,53]",23.04,"[6,13,16,22,26,31,36,44,53]",0.1923,0.968856507,"[3,5,5,6,3,3,5,6,4]",0.2084
3_lines_80_stations,heuristic,10,10,0.0172,"[6,13,16,22,26,31,36,44,53,69]",20.79,"[6,13,16,22,26,31,36,44,53,69]",0.0042,0.003004094,"[1,1,1,1,1,1,1,1,1,1]",0.0214
3_lines_80_stations,heuristic,10,20,0.0166,"[6,13,16,22,26,31,36,44,53,69]",20.79,"[6,13,16,22,26,31,36,44,53,69]",0.0752,0.202557533,"[1,3,3,3,1,1,2,3,2,1]",0.0918
3_lines_80_stations,heuristic,10,30,0.0171,"[6,13,16,22,26,31,36,44,53,69]",20.79,"[6,13,16,22,26,31,36,44,53,69]",0.1472,0.72452858,"[2,4,4,4,2,2,3,4,3,2]",0.1643
3_lines_80_stations,heuristic,10,40,0.0173,"[6,13,16,22,26,31,36,44,53,69]",20.79,"[6,13,16,22,26,31,36,44,53,69]",0.2194,0.954120417,"[3,5,5,5,3,3,4,5,4,3]",0.2367
9_lines_245_stations,heuristic,1,10,0.0164,[38],211.41,[38],0.2412,3.99E-05,[10],0.2576
9_lines_245_stations,heuristic,1,20,0.0174,[38],211.41,[38],0.2645,0.065329506,[20],0.2819
9_lines_245_stations,heuristic,1,30,0.0172,[38],211.41,[38],0.2743,0.724533653,[30],0.2915
9_lines_245_stations,heuristic,1,40,0.0171,[38],211.41,[38],0.2836,0.994075101,[40],0.3007
9_lines_245_stations,heuristic,1,50,0.0174,[38],211.41,[38],0.2927,0.999991852,[50],0.3101
9_lines_245_stations,heuristic,1,60,0.0172,[38],211.41,[38],0.3029,0.999999999,[60],0.3201
9_lines_245_stations,heuristic,1,70,0.0164,[38],211.41,[38],0.3127,1,[70],0.3291
9_lines_245_stations,heuristic,2,10,0.0191,"[21,40]",172.45,"[21,40]",0.142,1.36E-05,"[5,5]",0.1611
9_lines_245_stations,heuristic,2,20,0.0191,"[21,40]",172.45,"[21,40]",0.1526,0.027429954,"[11,9]",0.1717
9_lines_245_stations,heuristic,2,30,0.0191,"[21,40]",172.45,"[21,40]",0.1707,0.482981512,"[16,14]",0.1898
9_lines_245_stations,heuristic,2,40,0.0192,"[21,40]",172.45,"[21,40]",0.1914,0.936986455,"[21,19]",0.2106
9_lines_245_stations,heuristic,2,50,0.0191,"[21,40]",172.45,"[21,40]",0.2091,0.998161485,"[27,23]",0.2282
9_lines_245_stations,heuristic,2,60,0.0192,"[21,40]",172.45,"[21,40]",0.2299,0.999984779,"[32,28]",0.2491
9_lines_245_stations,heuristic,2,70,0.0192,"[21,40]",172.45,"[21,40]",0.2472,0.999999957,"[37,33]",0.2664
9_lines_245_stations,heuristic,3,10,0.021,"[13,21,43]",148.1,"[13,21,43]",0.112,6.43E-06,"[4,4,2]",0.133
