network,method,M,T,stage1_runtime_seconds,stage1_selected_depots,WMRD,stage2_fixed_depots,stage2_runtime_seconds,system_reliability,technician_allocation,total_runtime_seconds
3_lines_80_stations,exact,5,20,0.632,"[13,22,36,44,53]",36.36,"[13,22,36,44,53]",0.012,0.529122462,"[5,5,4,4,2]",0.644
3_lines_80_stations,exact,5,30,0.632,"[13,22,36,44,53]",36.36,"[13,22,36,44,53]",0.015,0.944933323,"[7,8,6,6,3]",0.647
3_lines_80_stations,exact,5,40,0.632,"[13,22,36,44,53]",36.36,"[13,22,36,44,53]",0.018,0.997973803,"[10,9,8,8,5]",0.65
3_lines_80_stations,exact,6,10,0.6684,"[13,16,22,32,44,53]",32.26,"[13,16,22,32,44,53]",0.0114,0.014247845,"[2,2,2,1,2,1]",0.6798
3_lines_80_stations,exact,6,20,0.6684,"[13,16,22,32,44,53]",32.26,"[13,16,22,32,44,53]",0.015,0.437002699,"[4,4,5,2,3,2]",0.6834
3_lines_80_stations,exact,6,30,0.6684,"[13,16,22,32,44,53]",32.26,"[13,16,22,32,44,53]",0.015,0.911026876,"[6,6,7,3,5,3]",0.6834
3_lines_80_stations,exact,6,40,0.6684,"[13,16,22,32,44,53]",32.26,"[13,16,22,32,44,53]",0.018,0.994932441,"[8,7,9,5,7,4]",0.6864
3_lines_80_stations,exact,7,10,0.6444,"[13,16,22,31,36,44,53]",28.76,"[13,16,22,31,36,44,53]",0.009,0.009352307,"[2,1,2,1,1,2,1]",0.6534
3_lines_80_stations,exact,7,20,0.6444,"[13,16,22,31,36,44,53]",28.76,"[13,16,22,31,36,44,53]",0.015,0.351852895,"[4,3,4,2,2,3,2]",0.6594
3_lines_80_stations,exact,7,30,0.6444,"[13,16,22,31,36,44,53]",28.76,"[13,16,22,31,36,44,53]",0.015,0.862209243,"[5,5,6,2,4,5,3]",0.6594
3_lines_80_stations,exact,7,40,0.6444,"[13,16,22,31,36,44,53]",28.76,"[13,16,22,31,36,44,53]",0.0189,0.989419778,"[7,6,8,3,5,7,4]",0.6633
3_lines_80_stations,exact,8,10,0.6232,"[6,13,16,22,31,36,44,53]",25.44,"[6,13,16,22,31,36,44,53]",0.0117,0.006290938,"[1,1,1,2,1,1,2,1]",0.6349
3_lines_80_stations,exact,8,20,0.6232,"[6,13,16,22,31,36,44,53]",25.44,"[6,13,16,22,31,36,44,53]",0.015,0.303047967,"[1,3,3,4,2,2,3,2]",0.6382
3_lines_80_stations,exact,8,30,0.6232,"[6,13,16,22,31,36,44,53]",25.44,"[6,13,16,22,31,36,44,53]",0.018,0.816628244,"[2,4,4,6,2,4,5,3]",0.6412
3_lines_80_stations,exact,8,40,0.6232,"[6,13,16,22,31,36,44,53]",25.44,"[6,13,16,22,31,36,44,53]",0.021,0.980697574,"[3,5,6,8,3,5,6,4]",0.6442
3_lines_80_stations,exact,9,10,0.632,"[6,13,16,22,26,31,36,44,53]",23.04,"[6,13,16,22,26,31,36,44,53]",0.009,0.004124507,"[1,1,1,2,1,1,1,1,1]",0.641
3_lines_80_stations,exact,9,20,0.632,"[6,13,16,22,26,31,36,44,53]",23.04,"[6,13,16,22,26,31,36,44,53]",0.015,0.250573196,"[1,3,3,3,1,2,2,3,2]",0.647
3_lines_80_stations,exact,9,30,0.632,"[6,13,16,22,26,31,36,44,53]",23.04,"[6,13,16,22,26,31,36,44,53]",0.018,0.770370833,"[2,4,4,5,2,2,3,5,3]",0.65
3_lines_80_stations,exact,9,40,0.632,"[6,13,16,22,26,31,36,44,53]",23.04,"[6,13,16,22,26,31,36,44,53]",0.021,0.968856507,"[3,5,5,6,3,3,5,6,4]",0.653
3_lines_80_stations,exact,10,10,0.644,"[6,13,16,22,26,31,36,44,53,69]",20.79,"[6,13,16,22,26,31,36,44,53,69]",0.009,0.003004094,"[1,1,1,1,1,1,1,1,1,1]",0.653
3_lines_80_stations,exact,10,20,0.644,"[6,13,16,22,26,31,36,44,53,69]",20.79,"[6,13,16,22,26,31,36,44,53,69]",0.015,0.202557533,"[1,3,3,3,1,1,2,3,2,1]",0.659
3_lines_80_stations,exact,10,30,0.644,"[6,13,16,22,26,31,36,44,53,69]",20.79,"[6,13,16,22,26,31,36,44,53,69]",0.018,0.72452858,"[2,4,4,4,2,2,3,4,3,2]",0.662
3_lines_80_stations,exact,10,40,0.644,"[6,13,16,22,26,31,36,44,53,69]",20.79,"[6,13,16,22,26,31,36,44,53,69]",0.021,0.954120417,"[3,5,5,5,3,3,4,5,4,3]",0.665
9_lines_245_stations,exact,1,10,2.1353,[38],211.41,[38],0.261,3.99E-05,[10],2.3963
9_lines_245_stations,exact,1,20,2.1353,[38],211.41,[38],0.2676,0.06533,[20],2.4029
9_lines_245_stations,exact,1,30,2.1353,[38],211.41,[38],0.273,0.724534,[30],2.4083
9_lines_245_stations,exact,1,40,2.1353,[38],211.41,[38],0.258,0.994075,[40],2.3933
9_lines_245_stations,exact,1,50,2.1353,[38],211.41,[38],0.261,0.999992,[50],2.3963
9_lines_245_stations,exact,1,60,2.1353,[38],211.41,[38],0.261,1,[60],2.3963
9_lines_245_stations,exact,1,70,2.1353,[38],211.41,[38],0.27,1,[70],2.4053
9_lines_245_stations,exact,2,10,1.9791,"[21,40]",172.45,"[21,40]",0.147,1.36E-05,"[5,5]",2.1261
9_lines_245_stations,exact,2,20,1.9791,"[21,40]",172.45,"[21,40]",0.15,0.02743,"[11,9]",2.1291
9_lines_245_stations,exact,2,30,1.9791,"[21,40]",172.45,"[21,40]",0.144,0.482982,"[16,14]",2.1231
9_lines_245_stations,exact,2,40,1.9791,"[21,40]",172.45,"[21,40]",0.138,0.936986,"[21,19]",2.1171
9_lines_245_stations,exact,2,50,1.9791,"[21,40]",172.45,"[21,40]",0.147,0.998161,"[27,23]",2.1261
9_lines_245_stations,exact,2,60,1.9791,"[21,40]",172.45,"[21,40]",0.141,0.999985,"[32,28]",2.1201
9_lines_245_stations,exact,2,70,1.9791,"[21,40]",172.45,"[21,40]",0.141,0.999999957,"[37,33]",2.1201
9_lines_245_stations,exact,3,10,1.8467,"[13,21,43]",148.1,"[13,21,43]",0.105,6.43E-06,"[4,4,2]",1.9517
9_lines_245_stations,exact,3,20,1.8467,"[13,21,43]",148.1,"[13,21,43]",0.108,0.013647,"[8,8,4]",1.9547
9_lines_245_stations,exact,3,30,1.8467,"[13,21,43]",148.1,"[13,21,43]",0.105,0.326995,"[11,13,6]",1.9517
9_lines_245_stations,exact,3,40,1.8467,"[13,21,43]",148.1,"[13,21,43]",0.114,0.846152,"[15,16,9]",1.9607
9_lines_245_stations,exact,3,50,1.8467,"[13,21,43]",148.1,"[13,21,43]",0.111,0.987122,"[19,20,11]",1.9577
9_lines_245_stations,exact,3,60,1.8467,"[13,21,43]",148.1,"[13,21,43]",0.111,0.999579,"[22,24,14]",1.9577
9_lines_245_stations,exact,3,70,1.8467,"[13,21,43]",148.1,"[13,21,43]",0.111,0.999992,"[26,27,17]",1.9577
9_lines_245_stations,exact,4,10,1.8403,"[13,21,43,221]",133.76,"[13,21,43,221]",0.0843,3.30E-06,"[3,4,2,1]",1.9246
9_lines_245_stations,exact,4,20,1.8403,"[13,21,43,221]",133.76,"[13,21,43,221]",0.087,0.009218,"[7,8,4,1]",1.9273
9_lines_245_stations,exact,4,30,1.8403,"[13,21,43,221]",133.76,"[13,21,43,221]",0.09,0.255577,"[10,12,6,2]",1.9303
9_lines_245_stations,exact,4,40,1.8403,"[13,21,43,221]",133.76,"[13,21,43,221]",0.093,0.766086,"[13,16,8,3]",1.9333
9_lines_245_stations,exact,4,50,1.8403,"[13,21,43,221]",133.76,"[13,21,43,221]",0.096,0.970194,"[16,19,11,4]",1.9363
9_lines_245_stations,exact,4,60,1.8403,"[13,21,43,221]",133.76,"[13,21,43,221]",0.096,0.998033,"[19,22,13,6]",1.9363
9_lines_245_stations,exact,4,70,1.8403,"[13,21,43,221]",133.76,"[13,21,43,221]",0.093,0.999929,"[22,26,15,7]",1.9333
9_lines_245_stations,exact,5,10,1.7788,"[13,21,31,43,221]",124.07,"[13,21,31,43,221]",0.078,1.83E-06,"[3,3,1,2,1]",1.8568
9_lines_245_stations,exact,5,20,1.7788,"[13,21,31,43,221]",124.07,"[13,21,31,43,221]",0.078,0.005516,"[6,7,2,4,1]",1.8568
9_lines_245_stations,exact,5,30,1.7788,"[13,21,31,43,221]",124.07,"[13,21,31,43,221]",0.081,0.183627,"[10,10,2,6,2]",1.8598
9_lines_245_stations,exact,5,40,1.7788,"[13,21,31,43,221]",124.07,"[13,21,31,43,221]",0.081,0.673113,"[12,13,4,8,3]",1.8598
9_lines_245_stations,exact,5,50,1.7788,"[13,21,31,43,221]",124.07,"[13,21,31,43,221]",0.087,0.941844,"[15,16,5,10,4]",1.8658
9_lines_245_stations,exact,5,60,1.7788,"[13,21,31,43,221]",124.07,"[13,21,31,43,221]",0.087,0.994188,"[18,19,6,12,5]",1.8658
9_lines_245_stations,exact,5,70,1.7788,"[13,21,31,43,221]",124.07,"[13,21,31,43,221]",0.0936,0.999599,"[20,22,7,14,7]",1.8724
9_lines_245_stations,exact,6,10,1.7312,"[13,21,31,43,145,221]",115.05,"[13,21,31,43,145,221]",0.066,9.74E-07,"[3,2,1,2,1,1]",1.7972
9_lines_245_stations,exact,6,20,1.7312,"[13,21,31,43,145,221]",115.05,"[13,21,31,43,145,221]",0.078,0.003298,"[6,6,1,4,2,1]",1.8092
9_lines_245_stations,exact,6,30,1.7312,"[13,21,31,43,145,221]",115.05,"[13,21,31,43,145,221]",0.072,0.131952,"[9,8,2,6,3,2]",1.8032
9_lines_245_stations,exact,6,40,1.7312,"[13,21,31,43,145,221]",115.05,"[13,21,31,43,145,221]",0.075,0.568917,"[12,10,3,8,4,3]",1.8062
9_lines_245_stations,exact,6,50,1.7312,"[13,21,31,43,145,221]",115.05,"[13,21,31,43,145,221]",0.078,0.891209,"[14,13,4,10,5,4]",1.8092
9_lines_245_stations,exact,6,60,1.7312,"[13,21,31,43,145,221]",115.05,"[13,21,31,43,145,221]",0.081,0.983773,"[17,15,5,11,7,5]",1.8122
9_lines_245_stations,exact,6,70,1.7312,"[13,21,31,43,145,221]",115.05,"[13,21,31,43,145,221]",0.081,0.998463,"[19,17,7,13,8,6]",1.8122
9_lines_245_stations,exact,7,10,2.0605,"[13,21,31,43,134,145,221]",107.33,"[13,21,31,43,134,145,221]",0.051,5.56E-07,"[2,2,1,2,1,1,1]",2.1115
9_lines_245_stations,exact,7,20,2.0605,"[13,21,31,43,134,145,221]",107.33,"[13,21,31,43,134,145,221]",0.054,0.001927,"[5,5,1,4,2,2,1]",2.1145
9_lines_245_stations,exact,7,30,2.0605,"[13,21,31,43,134,145,221]",107.33,"[13,21,31,43,134,145,221]",0.06,0.088472,"[7,8,2,5,3,3,2]",2.1205
9_lines_245_stations,exact,7,40,2.0605,"[13,21,31,43,134,145,221]",107.33,"[13,21,31,43,134,145,221]",0.06,0.465327,"[9,10,3,7,4,4,3]",2.1205
9_lines_245_stations,exact,7,50,2.0605,"[13,21,31,43,134,145,221]",107.33,"[13,21,31,43,134,145,221]",0.066,0.828286,"[11,12,4,9,6,5,3]",2.1265
9_lines_245_stations,exact,7,60,2.0605,"[13,21,31,43,134,145,221]",107.33,"[13,21,31,43,134,145,221]",0.069,0.965833,"[12,14,5,11,7,6,5]",2.1295
9_lines_245_stations,exact,7,70,2.0605,"[13,21,31,43,134,145,221]",107.33,"[13,21,31,43,134,145,221]",0.069,0.994976,"[14,16,6,13,8,7,6]",2.1295
9_lines_245_stations,exact,8,10,1.9958,"[13,21,31,43,134,145,156,221]",99.75,"[13,21,31,43,134,145,156,221]",0.048,3.16E-07,"[2,2,1,1,1,1,1,1]",2.0438
9_lines_245_stations,exact,8,20,1.9958,"[13,21,31,43,134,145,156,221]",99.75,"[13,21,31,43,134,145,156,221]",0.054,0.00133,"[4,5,1,4,2,2,1,1]",2.0498
9_lines_245_stations,exact,8,30,1.9958,"[13,21,31,43,134,145,156,221]",99.75,"[13,21,31,43,134,145,156,221]",0.0567,0.068910572,"[7,7,2,5,3,3,1,2]",2.0525
9_lines_245_stations,exact,8,40,1.9958,"[13,21,31,43,134,145,156,221]",99.75,"[13,21,31,43,134,145,156,221]",0.06,0.400511,"[8,9,3,7,4,4,2,3]",2.0558
9_lines_245_stations,exact,8,50,1.9958,"[13,21,31,43,134,145,156,221]",99.75,"[13,21,31,43,134,145,156,221]",0.066,0.776242,"[10,11,4,9,5,5,3,3]",2.0618
9_lines_245_stations,exact,8,60,1.9958,"[13,21,31,43,134,145,156,221]",99.75,"[13,21,31,43,134,145,156,221]",0.066,0.948248,"[12,13,5,10,7,6,3,4]",2.0618
9_lines_245_stations,exact,8,70,1.9958,"[13,21,31,43,134,145,156,221]",99.75,"[13,21,31,43,134,145,156,221]",0.072,0.991249,"[14,14,6,12,8,7,4,5]",2.0678
9_lines_245_stations,exact,9,10,1.7297,"[16,21,31,43,75,134,145,156,221]",92.28,"[16,21,31,43,75,134,145,156,221]",0.048,1.48E-07,"[1,2,1,1,1,1,1,1,1]",1.7777
9_lines_245_stations,exact,9,20,1.7297,"[16,21,31,43,75,134,145,156,221]",92.28,"[16,21,31,43,75,134,145,156,221]",0.051,0.000787,"[3,4,1,3,3,2,2,1,1]",1.7807
9_lines_245_stations,exact,9,30,1.7297,"[16,21,31,43,75,134,145,156,221]",92.28,"[16,21,31,43,75,134,145,156,221]",0.048,0.046994,"[4,6,2,5,4,3,3,1,2]",1.7777
9_lines_245_stations,exact,9,40,1.7297,"[16,21,31,43,75,134,145,156,221]",92.28,"[16,21,31,43,75,134,145,156,221]",0.054,0.322834,"[5,8,3,6,6,4,4,2,2]",1.7837
9_lines_245_stations,exact,9,50,1.7297,"[16,21,31,43,75,134,145,156,221]",92.28,"[16,21,31,43,75,134,145,156,221]",0.06,0.701463,"[6,10,4,8,7,5,5,2,3]",1.7897
9_lines_245_stations,exact,9,60,1.7297,"[16,21,31,43,75,134,145,156,221]",92.28,"[16,21,31,43,75,134,145,156,221]",0.06,0.912392,"[7,11,5,9,8,7,6,3,4]",1.7897
9_lines_245_stations,exact,9,70,1.7297,"[16,21,31,43,75,134,145,156,221]",92.28,"[16,21,31,43,75,134,145,156,221]",0.063,0.979659,"[8,13,5,10,10,8,7,4,5]",1.7927
9_lines_245_stations,exact,10,10,1.7216,"[16,21,31,43,52,75,134,145,156,221]",85.53,"[16,21,31,43,52,75,134,145,156,221]",0.039,6.29E-08,"[1,1,1,1,1,1,1,1,1,1]",1.7606
9_lines_245_stations,exact,10,20,1.7216,"[16,21,31,43,52,75,134,145,156,221]",85.53,"[16,21,31,43,52,75,134,145,156,221]",0.045,0.000527,"[3,4,1,2,1,3,2,2,1,1]",1.7666
9_lines_245_stations,exact,10,30,1.7216,"[16,21,31,43,52,75,134,145,156,221]",85.53,"[16,21,31,43,52,75,134,145,156,221]",0.051,0.035173,"[4,6,2,4,1,4,3,3,1,2]",1.7726
9_lines_245_stations,exact,10,40,1.7216,"[16,21,31,43,52,75,134,145,156,221]",85.53,"[16,21,31,43,52,75,134,145,156,221]",0.057,0.272809,"[5,8,3,5,2,6,4,3,2,2]",1.7786
9_lines_245_stations,exact,10,50,1.7216,"[16,21,31,43,52,75,134,145,156,221]",85.53,"[16,21,31,43,52,75,134,145,156,221]",0.057,0.642836,"[6,9,4,6,3,7,5,5,2,3]",1.7786
9_lines_245_stations,exact,10,60,1.7216,"[16,21,31,43,52,75,134,145,156,221]",85.53,"[16,21,31,43,52,75,134,145,156,221]",0.063,0.880123,"[7,11,5,8,3,8,6,5,3,4]",1.7846
9_lines_245_stations,exact,10,70,1.7216,"[16,21,31,43,52,75,134,145,156,221]",85.53,"[16,21,31,43,52,75,134,145,156,221]",0.066,0.969467,"[8,12,5,9,4,10,8,6,4,4]",1.7876
